Name,bodytemp,birth,fourlegged,hibernates,isMammal
Human,warmblooded,yes,no,no,yes
cat,warmblooded,yes,yes,no,yes
bat,warmblooded,yes,no,yes,yes
python,coldblooded,no,no,yes,no
eagle,warmblooded,no,no,no,no
turtle,coldblooded,no,yes,yes,no
whale,warmblooded,yes,no,no,no
penguin,coldblooded,no,no,no,no
eel,coldblooded,no,no,no,no
dolphin,warmblooded,yes,no,no,yes
elephant,warmblooded,yes,yes,no,yes
porcupine,warmblooded,yes,yes,yes,yes
guppy,coldblooded,yes,no,no,no
shark,coldblooded,yes,no,no,no
